"ID","BASE","KTR","SLOPE","GAMMA"
"101",2.5,0.224457143265385,0.299999999999998,0.800000000000001
"102",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"103",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"104",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"105",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"106",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"107",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"108",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"109",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"110",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"111",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"112",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"113",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"114",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"115",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"116",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"117",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"118",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"119",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"120",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"121",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"122",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"123",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"124",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"125",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"126",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"127",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"128",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"129",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"130",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"131",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"132",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"133",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"134",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"135",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"136",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"137",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"138",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"139",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"140",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"141",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"142",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"143",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"144",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"145",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"146",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"147",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"148",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"149",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"150",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"151",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"152",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"153",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"154",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"155",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"156",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"157",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"158",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"159",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"160",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"161",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"162",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"163",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"164",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"165",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"166",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"167",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"168",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"169",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"170",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"171",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"172",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"173",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"174",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"175",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"176",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"177",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"178",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"179",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"180",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"181",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"182",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"183",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"184",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"185",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"186",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"187",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"188",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"189",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"190",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"191",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"192",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"193",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"194",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"195",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"196",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"197",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"198",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"199",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"200",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"201",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"202",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"203",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"204",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"205",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"206",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"207",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"208",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"209",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"210",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"211",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"212",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"213",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"214",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"215",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"216",2.5,0.196109399527924,0.299999999999998,0.800000000000001
